Year,Semester,Department,Code,num_students,Mean,SD,Kurtosis,Skewness,Dip,p(Dip),Shapiro,p(Shapiro),AD,p(AD),p(BIMT),LR-BIMT,logShap,logpShap
2002,1,CSC,202,100,68.7578101693141,24.0075301747988,2.82999005728319,-0.862777012554743,0.0318266008021612,0.697298094697075,0.904616358906966,2.34594199042179e-06,3.03543969925589,1.13047491795551e-07,0,0,0.748436653766815,8.5144721350038e-12
2004,1,CSC,200,204,65.4770747243436,23.4121168343757,2.3727906512342,-0.570941943733145,0.0158599029772304,0.990909156960766,0.945334429790565,5.48782624589673e-07,3.285379092912,2.97559650161042e-08,0,0,0.80660918120785,3.53356415190735e-15
2001,2,CSC,202,116,63.8376401091583,24.3388454136911,2.29798345045385,-0.448345132171514,0.0200538473246282,0.992006875258593,0.958531316106578,0.0012193443889702,1.22566767611167,0.00327402799982534,0,0,0.806460827318057,4.70918315674291e-11
2002,1,CSC,201,103,64.9056838871585,22.0424531280004,2.77931963009071,-0.665372302585719,0.0246378133230924,0.961347475272787,0.950932933272555,0.000779655571594619,1.32365457493145,0.00186109010497834,0,0,0.778578164711204,3.71662873445699e-11
2003,2,CSC,202,112,63.7419240657099,23.9621351608236,2.02320857126145,-0.405196764811056,0.0302504084403087,0.69130632710564,0.941245442963365,9.31624738189934e-05,2.25063705976648,9.65516634164304e-06,0,0,0.852958806146066,3.63703630415761e-09
2004,1,CSC,201,81,68.6378615003086,23.6271204614244,2.06876419588622,-0.450453268729974,0.0332159762716708,0.780661711434266,0.932946739003399,0.000376339446399197,1.49876865577573,0.000673957440529431,0,0,0.870723039232097,7.58337944575452e-07
2003,1,CSC,100,498,65.898708100591,23.9935039569847,2.51817738421405,-0.582760438909108,0.012602119775506,0.910099461390899,0.948535706720787,3.8391600859038e-12,6.32125687541958,1.54530606347312e-15,0,0,0.780766004098173,2.64418220178647e-25
2002,1,CSC,100,503,66.4608679766664,24.063087831236,2.40127944715768,-0.578819289917276,0.010380798753296,0.990742576671056,0.943537752394957,6.60924946065386e-13,7.88600050234191,3.04743006659787e-19,0,0,0.791243045620209,6.83100163010949e-25
2003,1,CSC,105,96,72.4910583750125,20.7818336196912,2.77513459687852,-0.863507843045142,0.0267185784417089,0.933388515453651,0.906166247172539,4.16921647242895e-06,2.84137238211284,3.36122455187542e-07,0,0,0.817445881050042,1.5204363028048e-09
2000,1,CSC,201,100,65.58610080179,25.3255454738158,2.27610113562469,-0.544329489219595,0.0411052991558029,0.255513508865875,0.935861212660695,0.000108765921518583,1.71918502086972,0.000195271416511109,0,0,0.827945575411822,1.96944245180378e-09
2002,1,CSC,301,63,67.3162779282143,24.1243207108634,2.25710042033116,-0.520288512041916,0.0435966960007779,0.509783829351204,0.937671265973375,0.00324177705972435,1.10468285506195,0.00629297803090424,0,0,0.846195814892176,1.47192405081182e-06
2001,1,CSC,100,487,67.6595053741716,22.957037727983,2.60630373579319,-0.68492368573176,0.0138695695171774,0.813864459902331,0.939322005886131,3.36862319509583e-13,8.3294629835425,2.75462852473232e-20,0,0,0.803035429285608,6.77088081189624e-24
2002,1,CSC,105,113,65.3215704177727,24.1363934009713,2.57127360678878,-0.608111339636741,0.0241313233270138,0.951267478703066,0.948778449709635,0.000281373942055745,1.47364747303598,0.000796144399439624,0,0,0.729234679333876,3.82192673402215e-13
2004,1,CSC,302,44,60.5193585611091,22.8376041181951,1.97179785448134,-0.263910203703803,0.0384438043906742,0.928537784586131,0.953769445064168,0.076058568044462,0.528298294220924,0.168072740710263,0,0,0.895270648432982,0.000781175759230302
2000,1,CSC,100,493,68.0227386597182,23.4158237787325,2.60918622236112,-0.686361876959168,0.0110254098484854,0.983560377010755,0.936989140521956,1.37858312503858e-13,8.46095857180524,1.35455170248101e-20,0,0,0.796760071090252,2.2738496932053e-24
2004,2,CSC,400,41,60.6843082368532,24.8236797069863,1.81185340521034,-0.28088775045655,0.0397695560509015,0.926646221119603,0.936855921703344,0.0245432870012317,0.821832343497299,0.030894209461024,0,0,0.881693908479673,0.000499001831185116
2004,2,CSC,333,65,63.6744523458418,27.4716410753865,2.21899612938462,-0.538308010926194,0.0378765657504842,0.734328854545039,0.929443959726935,0.00114361630595492,1.33823992724163,0.00165423790858234,0,0,0.744771891407887,2.69991545347112e-09
2000,1,CSC,105,90,68.0204312062844,25.1808244803107,2.7896976978006,-0.888507037778579,0.0371371310589373,0.502544409007584,0.898589708736252,3.5023055925201e-06,3.0332841561069,1.12721812523864e-07,0,0,0.731251387196553,1.53611707113618e-11
2003,2,CSC,201,102,65.1410670338321,23.9511577966976,2.42193194201967,-0.531633915698196,0.0295409980217419,0.799417549683359,0.950860604066839,0.000825102202607662,1.2320759096103,0.00313602721396257,0,0,0.823440929635849,1.06712342219996e-09
2004,2,CSC,302,52,65.4600277226596,21.5092469126599,2.09443280396664,-0.36963883907242,0.0482433546878628,0.489316927006674,0.95335858399754,0.0404745404350373,0.846511722691041,0.0273504724019725,0,0,0.894420559520963,0.000240124584145219
2002,1,CSC,333,71,65.0707415693485,25.059139249438,2.19417060076859,-0.332961509206094,0.0597418060831163,0.0497081097662408,0.94724068981586,0.00481895316681879,1.03798024634835,0.00930793924199453,0,0,0.828519568777813,1.27552194973417e-07
2000,2,CSC,101,304,68.3034999379246,23.1382621486432,2.55123670332812,-0.729619657969156,0.0144731170244712,0.968926484428402,0.925347823446052,3.38006932770738e-11,7.48221666333831,2.62300712873447e-18,0,0,0.802404419163775,6.13551850734245e-19
2003,1,CSC,200,203,67.2925067714396,24.0597817447413,2.30653372290912,-0.563971054727403,0.022851153140736,0.693026892611379,0.934340514012976,6.31401720090962e-08,3.83871039181267,1.34413028265047e-09,0,0,0.830101231716585,3.91109537696355e-14
2003,2,CSC,333,42,67.2121416208405,25.9823492789972,2.04530678065172,-0.579334644658443,0.0400128732036554,0.913724949366747,0.907350455698765,0.0024070212042977,1.32929292547944,0.00165113311014565,0,0,0.832932782504855,2.41623356864516e-05
2000,1,CSC,301,61,69.2592961430295,22.6864679051196,2.29380313622348,-0.468212460851278,0.0441224641211596,0.515636272156885,0.943689811168517,0.00729886145458674,0.892725695825767,0.0212073557990624,0,0,0.869387011842795,1.03375985922645e-05
2004,1,CSC,300,59,67.43685468851,24.3590655226621,2.22914258847868,-0.558419265101381,0.0313044169133542,0.968279924617318,0.933087828967774,0.00296637214686248,1.27736085410665,0.00232275231095557,0,0,0.819219520018243,4.99807401687637e-07
2001,2,CSC,100,510,65.3952393715839,24.1020522682618,2.31933782951282,-0.522965698769805,0.0116926223107521,0.954768576004961,0.947589335995043,1.86277618575011e-12,7.37704233766044,4.84341920110166e-18,0,0,0.788433103084714,3.35839114984638e-25
2000,2,CSC,100,503,67.2084497666513,23.9264425022547,2.5460900279349,-0.647109534559422,0.0181682092582347,0.321434860908741,0.93809424293451,1.30316348734587e-13,8.30058443854307,3.22737005584694e-20,0,0,0.797458363605541,1.44363052681117e-24
